time,label
2016-06-03 20:00:00,0
2016-06-05 20:00:00,0
2016-06-06 00:00:00,0
2016-06-06 04:00:00,0
2016-06-06 08:00:00,0
2016-06-06 12:00:00,0
2016-06-06 16:00:00,0
2016-06-06 20:00:00,0
2016-06-07 00:00:00,0
2016-06-07 04:00:00,0
2016-06-07 08:00:00,1
2016-06-07 12:00:00,1
2016-06-07 16:00:00,1
2016-06-07 20:00:00,1
2016-06-08 00:00:00,0
2016-06-08 04:00:00,0
2016-06-08 08:00:00,0
2016-06-08 12:00:00,0
2016-06-08 16:00:00,0
2016-06-08 20:00:00,0
2016-06-09 00:00:00,2
2016-06-09 04:00:00,2
2016-06-09 08:00:00,2
2016-06-09 12:00:00,0
2016-06-09 16:00:00,0
2016-06-09 20:00:00,0
2016-06-10 00:00:00,0
2016-06-10 04:00:00,2
2016-06-10 08:00:00,2
2016-06-10 12:00:00,0
2016-06-10 16:00:00,0
2016-06-10 20:00:00,0
2016-06-12 20:00:00,1
2016-06-13 00:00:00,1
2016-06-13 04:00:00,0
2016-06-13 08:00:00,0
2016-06-13 12:00:00,0
2016-06-13 16:00:00,2
2016-06-13 20:00:00,2
2016-06-14 00:00:00,2
2016-06-14 04:00:00,2
2016-06-14 08:00:00,0
2016-06-14 12:00:00,0
2016-06-14 16:00:00,1
2016-06-14 20:00:00,1
2016-06-15 00:00:00,1
2016-06-15 04:00:00,1
2016-06-15 08:00:00,0
2016-06-15 12:00:00,0
2016-06-15 16:00:00,0
2016-06-16 00:00:00,2
2016-06-16 04:00:00,2
2016-06-16 08:00:00,0
2016-06-16 12:00:00,1
2016-06-16 16:00:00,1
2016-06-16 20:00:00,0
2016-06-17 00:00:00,0
2016-06-17 04:00:00,1
2016-06-17 08:00:00,1
2016-06-17 12:00:00,0
2016-06-17 20:00:00,0
2016-06-20 00:00:00,2
2016-06-20 04:00:00,2
2016-06-20 08:00:00,0
2016-06-20 12:00:00,0
2016-06-20 16:00:00,0
2016-06-20 20:00:00,0
2016-06-21 00:00:00,0
2016-06-21 04:00:00,2
2016-06-21 08:00:00,2
2016-06-21 12:00:00,0
2016-06-21 16:00:00,1
2016-06-21 20:00:00,1
2016-06-22 00:00:00,1
2016-06-22 04:00:00,1
2016-06-22 08:00:00,0
2016-06-22 12:00:00,0
2016-06-22 16:00:00,0
2016-06-22 20:00:00,0
2016-06-23 00:00:00,0
2016-06-23 04:00:00,1
2016-06-23 08:00:00,0
2016-06-23 12:00:00,0
2016-06-23 16:00:00,0
2016-06-23 20:00:00,2
2016-06-24 00:00:00,1
2016-06-24 04:00:00,2
2016-06-24 08:00:00,1
2016-06-24 12:00:00,0
2016-06-24 16:00:00,2
2016-06-24 20:00:00,2
2016-06-27 00:00:00,1
2016-06-27 04:00:00,2
2016-06-27 08:00:00,1
2016-06-27 12:00:00,1
2016-06-27 16:00:00,0
2016-06-27 20:00:00,0
2016-06-28 00:00:00,1
2016-06-28 04:00:00,0
2016-06-28 08:00:00,0
2016-06-28 12:00:00,0
2016-06-28 16:00:00,1
2016-06-28 20:00:00,0
2016-06-29 00:00:00,0
2016-06-29 04:00:00,0
2016-06-29 08:00:00,0
2016-06-29 12:00:00,0
2016-06-29 20:00:00,0
2016-06-30 00:00:00,0
2016-06-30 04:00:00,0
2016-06-30 08:00:00,2
2016-06-30 12:00:00,1
2016-06-30 16:00:00,1
2016-06-30 20:00:00,0
2016-07-01 00:00:00,0
2016-07-01 04:00:00,1
2016-07-01 08:00:00,0
2016-07-01 12:00:00,0
2016-07-01 16:00:00,0
2016-07-01 20:00:00,0
2016-07-03 20:00:00,0
2016-07-04 00:00:00,0
2016-07-04 04:00:00,0
2016-07-04 08:00:00,0
2016-07-04 12:00:00,0
2016-07-04 16:00:00,0
2016-07-04 20:00:00,0
2016-07-05 00:00:00,0
2016-07-05 04:00:00,2
2016-07-05 08:00:00,2
2016-07-05 12:00:00,0
2016-07-05 16:00:00,0
2016-07-05 20:00:00,0
2016-07-06 00:00:00,0
2016-07-06 04:00:00,0
2016-07-06 08:00:00,0
2016-07-06 12:00:00,0
2016-07-06 16:00:00,0
2016-07-06 20:00:00,0
2016-07-07 00:00:00,0
2016-07-07 04:00:00,0
2016-07-07 08:00:00,0
2016-07-07 12:00:00,0
2016-07-07 16:00:00,0
2016-07-07 20:00:00,0
2016-07-08 00:00:00,0
2016-07-08 04:00:00,0
2016-07-08 08:00:00,0
2016-07-08 12:00:00,0
2016-07-08 16:00:00,0
2016-07-08 20:00:00,0
2016-07-10 20:00:00,0
2016-07-11 00:00:00,0
2016-07-11 04:00:00,1
2016-07-11 08:00:00,1
2016-07-11 12:00:00,0
2016-07-11 20:00:00,0
2016-07-12 00:00:00,0
2016-07-12 04:00:00,2
2016-07-12 08:00:00,2
2016-07-12 12:00:00,0
2016-07-12 16:00:00,0
2016-07-12 20:00:00,0
2016-07-13 00:00:00,0
2016-07-13 04:00:00,1
2016-07-13 08:00:00,1
2016-07-13 12:00:00,0
2016-07-13 16:00:00,0
2016-07-13 20:00:00,0
2016-07-14 00:00:00,0
2016-07-14 04:00:00,0
2016-07-14 08:00:00,2
2016-07-14 12:00:00,2
2016-07-14 20:00:00,0
2016-07-15 00:00:00,0
2016-07-15 04:00:00,2
2016-07-15 08:00:00,2
2016-07-15 12:00:00,0
2016-07-15 16:00:00,0
2016-07-15 20:00:00,0
2016-07-18 00:00:00,0
2016-07-18 04:00:00,0
2016-07-18 08:00:00,0
2016-07-18 12:00:00,2
2016-07-18 16:00:00,2
2016-07-18 20:00:00,2
2016-07-19 00:00:00,2
2016-07-19 04:00:00,2
2016-07-19 08:00:00,0
2016-07-19 12:00:00,0
2016-07-19 16:00:00,0
2016-07-19 20:00:00,0
2016-07-20 00:00:00,0
2016-07-20 04:00:00,0
2016-07-20 08:00:00,0
2016-07-20 12:00:00,0
2016-07-20 16:00:00,0
2016-07-20 20:00:00,0
2016-07-21 00:00:00,0
2016-07-21 04:00:00,0
2016-07-21 08:00:00,0
2016-07-21 12:00:00,0
2016-07-21 16:00:00,0
2016-07-21 20:00:00,2
2016-07-22 00:00:00,2
2016-07-22 04:00:00,2
2016-07-22 08:00:00,2
