Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,1.08564,1.08564,1.08564,1.08564,0
01.01.2016 04:00:00.000,1.08564,1.08564,1.08564,1.08564,0
01.01.2016 08:00:00.000,1.08564,1.08564,1.08564,1.08564,0
01.01.2016 12:00:00.000,1.08564,1.08564,1.08564,1.08564,0
01.01.2016 16:00:00.000,1.08564,1.08564,1.08564,1.08564,0
01.01.2016 20:00:00.000,1.08564,1.08564,1.08564,1.08564,0
02.01.2016 00:00:00.000,1.08564,1.08564,1.08564,1.08564,0
02.01.2016 04:00:00.000,1.08564,1.08564,1.08564,1.08564,0
02.01.2016 08:00:00.000,1.08564,1.08564,1.08564,1.08564,0
02.01.2016 12:00:00.000,1.08564,1.08564,1.08564,1.08564,0
02.01.2016 16:00:00.000,1.08564,1.08564,1.08564,1.08564,0
02.01.2016 20:00:00.000,1.08564,1.08564,1.08564,1.08564,0
03.01.2016 00:00:00.000,1.08564,1.08564,1.08564,1.08564,0
03.01.2016 04:00:00.000,1.08564,1.08564,1.08564,1.08564,0
03.01.2016 08:00:00.000,1.08564,1.08564,1.08564,1.08564,0
03.01.2016 12:00:00.000,1.08564,1.08564,1.08564,1.08564,0
03.01.2016 16:00:00.000,1.08564,1.08564,1.08564,1.08564,0
03.01.2016 20:00:00.000,1.08564,1.08730,1.08451,1.08516,5557.58
04.01.2016 00:00:00.000,1.08515,1.08756,1.08272,1.08712,21276.2202
04.01.2016 04:00:00.000,1.08713,1.09202,1.08694,1.09125,28260.9604
04.01.2016 08:00:00.000,1.09123,1.09463,1.08976,1.09171,41382.5996
04.01.2016 12:00:00.000,1.09170,1.09250,1.08012,1.08015,53209.7705
04.01.2016 16:00:00.000,1.08016,1.08280,1.07812,1.08275,34820.029800000004
04.01.2016 20:00:00.000,1.08272,1.08371,1.08235,1.08237,14991.9398
05.01.2016 00:00:00.000,1.08239,1.08388,1.08150,1.08192,20097.749799999998
05.01.2016 04:00:00.000,1.08194,1.08365,1.08043,1.08086,22188.2998
05.01.2016 08:00:00.000,1.08087,1.08184,1.07522,1.07560,51087.850699999995
05.01.2016 12:00:00.000,1.07559,1.07648,1.07107,1.07217,60455.6612
05.01.2016 16:00:00.000,1.07216,1.07485,1.07198,1.07431,33611.1099
05.01.2016 20:00:00.000,1.07436,1.07582,1.07420,1.07502,16338.800000000001
06.01.2016 00:00:00.000,1.07503,1.07729,1.07392,1.07453,31583.180200000003
06.01.2016 04:00:00.000,1.07453,1.07550,1.07191,1.07293,23405.01
06.01.2016 08:00:00.000,1.07294,1.07520,1.07203,1.07488,40985.4199
06.01.2016 12:00:00.000,1.07486,1.07670,1.07148,1.07451,64845.9492
06.01.2016 16:00:00.000,1.07451,1.07991,1.07437,1.07887,46636.2788
06.01.2016 20:00:00.000,1.07886,1.07993,1.07737,1.07766,17544.5896
07.01.2016 00:00:00.000,1.07766,1.08254,1.07742,1.08185,33201.979999999996
07.01.2016 04:00:00.000,1.08187,1.08294,1.07820,1.07833,29036.930399999997
07.01.2016 08:00:00.000,1.07833,1.08746,1.07710,1.08665,56159.2305
07.01.2016 12:00:00.000,1.08665,1.08748,1.08279,1.08279,58492.1796
07.01.2016 16:00:00.000,1.08266,1.09350,1.08260,1.09310,47751.900499999996
07.01.2016 20:00:00.000,1.09312,1.09401,1.09194,1.09255,23449.5901
08.01.2016 00:00:00.000,1.09255,1.09273,1.08717,1.08839,36144.0909
08.01.2016 04:00:00.000,1.08839,1.08886,1.08549,1.08864,23273.46
08.01.2016 08:00:00.000,1.08863,1.08997,1.08586,1.08723,38748.4103
08.01.2016 12:00:00.000,1.08722,1.09085,1.08033,1.09085,71794.4296
08.01.2016 16:00:00.000,1.09083,1.09169,1.08703,1.09023,43267.7295
08.01.2016 20:00:00.000,1.09025,1.09299,1.09013,1.09235,12511.48
09.01.2016 00:00:00.000,1.09235,1.09235,1.09235,1.09235,0
09.01.2016 04:00:00.000,1.09235,1.09235,1.09235,1.09235,0
09.01.2016 08:00:00.000,1.09235,1.09235,1.09235,1.09235,0
09.01.2016 12:00:00.000,1.09235,1.09235,1.09235,1.09235,0
09.01.2016 16:00:00.000,1.09235,1.09235,1.09235,1.09235,0
09.01.2016 20:00:00.000,1.09235,1.09235,1.09235,1.09235,0
10.01.2016 00:00:00.000,1.09235,1.09235,1.09235,1.09235,0
10.01.2016 04:00:00.000,1.09235,1.09235,1.09235,1.09235,0
10.01.2016 08:00:00.000,1.09235,1.09235,1.09235,1.09235,0
10.01.2016 12:00:00.000,1.09235,1.09235,1.09235,1.09235,0
10.01.2016 16:00:00.000,1.09235,1.09235,1.09235,1.09235,0
10.01.2016 20:00:00.000,1.09235,1.09697,1.09172,1.09371,12790.009699999999
11.01.2016 00:00:00.000,1.09371,1.09454,1.09084,1.09141,24943.0899
11.01.2016 04:00:00.000,1.09141,1.09337,1.08930,1.09005,16389.8401
11.01.2016 08:00:00.000,1.09005,1.09069,1.08722,1.08985,40587.8901
11.01.2016 12:00:00.000,1.08986,1.09100,1.08503,1.08513,64949.0909
11.01.2016 16:00:00.000,1.08514,1.08987,1.08479,1.08734,43093.441399999996
11.01.2016 20:00:00.000,1.08735,1.08799,1.08501,1.08563,15421.7998
